,Entity_id,related_from,related_to_entity_id,related_to_term
2620,97,destruction,94,CT scan
2621,97,destruction,96,bone
2622,97,destruction,98,thoracic skeleton
2623,105,infectious etiology,117,biopsy
2624,117,biopsy,104,tissue
2625,117,biopsy,109,brain
2626,117,biopsy,111,tissue
2627,117,biopsy,116,brain
2628,117,biopsy,127,May
2629,117,biopsy,76,brain
2630,117,biopsy,77,unremarkable
2631,117,biopsy,91,thalami
2632,117,biopsy,92,midbrain
2633,117,biopsy,93,cranial nerve
2634,117,biopsy,95,frontal lobe
2635,120,neuroinvasive astrovirus (AstV) infection,119,in situ hybridization
2636,128,NGS,117,biopsy
2637,129,symptoms,117,biopsy
2638,22,magnetic resonance imaging,21,Brain
2639,22,magnetic resonance imaging,24,unremarkable
2640,23,MRI,21,Brain
2641,23,MRI,24,unremarkable
2642,31,neutrophils,27,4
2643,31,neutrophils,28,leukocytes/µL
2644,31,neutrophils,29,50
2645,31,neutrophils,30,%
2646,34,lymphocytes,32,50
2647,34,lymphocytes,33,%
2648,36,red blood cells,35,6
2649,36,red blood cells,37,/µL
2650,38,glucose,39,2.4
2651,38,glucose,40,mmol/L
2652,41,protein,42,61
2653,41,protein,43,mg/dL
2654,45,Viral polymerase chain reaction,48,negative
2655,46,PCR) testing,48,negative
2656,47,CSF,48,negative
2657,52,valacyclovir,51,high-dose
2658,53,broad-spectrum antibiotics,51,high-dose
2659,57,immunoglobulin,54,2
2660,57,immunoglobulin,55,g/kg
2661,57,immunoglobulin,56,intravenous
2662,58,IVIG,54,2
2663,58,IVIG,55,g/kg
2664,58,IVIG,56,intravenous
2665,65,vestibulocochlear dysfunction,64,neurological assessment
2666,66,symptom,64,neurological assessment
2667,70,lymphocytes,71,0.54 × 106
2668,70,lymphocytes,72,/μL
2669,70,lymphocytes,73,normal
2670,70,lymphocytes,74,1.2
2671,75,MRI scans,76,brain
2672,75,MRI scans,77,unremarkable
2673,81,encephalopathy,80,electroencephalogram
2674,84,glucocorticoids,83,high-dose
2675,90,signal abnormalities,117,biopsy
2676,90,signal abnormalities,89,MRI scanning
2677,90,signal abnormalities,91,thalami
2678,90,signal abnormalities,92,midbrain
2679,94,meningeal enhancement,117,biopsy
2680,94,meningeal enhancement,89,MRI scanning
2681,97,reactive gliosis,117,biopsy
2682,98,infiltration,117,biopsy
2683,102,MCTD-associated PAH,103,bosentan
2684,102,MCTD-associated PAH,104,beraprost therapy
2685,11,prednisolone,10,mg
2686,11,prednisolone,12,daily
2687,11,prednisolone,9,10
2688,110,furosemide,108,40
2689,110,furosemide,109,mg/day
2690,112,sildenafil,111,60
2691,117,plasma BNP level,118,increased
2692,123,prednisolone,124,increased
2693,123,prednisolone,125,60
2694,123,prednisolone,126,mg
2695,123,prednisolone,127,daily
2696,128,dyspnea,129,ameliorated
2697,128,dyspnea,130,6-minute walk test
2698,13,Pulmonary arterial systolic pressure,15,slightly elevated
2699,13,Pulmonary arterial systolic pressure,16,48
2700,13,Pulmonary arterial systolic pressure,17,mmHg
2701,131,SpO2,132,95
2702,131,SpO2,133,%
2703,134,plasma BNP level,135,decreased
2704,139,cardiac index,140,1.69 to 1.83
2705,143,transplantation,142,lung
2706,19,shortness of breath,20,2011
2707,34,bosentan,32,250
2708,34,bosentan,33,mg/day
2709,34,bosentan,35,120
2710,34,bosentan,36,μg/day
2711,37,beraprost,35,120
2712,37,beraprost,36,μg/day
2713,40,dyspnea,39,2014
2714,42,blood pressure,41,low
2715,42,blood pressure,43,89/61
2716,42,blood pressure,44,mmHg
2717,47,blood oxygen level,46,low
2718,48,percutaneous oxygen saturation,50,95
2719,48,percutaneous oxygen saturation,51,%
2720,49,SpO2,50,95
2721,49,SpO2,51,%
2722,5,plasma creatinine kinase,4,elevated
2723,54,systemic edema,53,severe
2724,60,dyspnea,59,severe
2725,62,plasma brain natriuretic peptide (BNP) level,61,elevated
2726,62,plasma brain natriuretic peptide (BNP) level,63,929.4
2727,62,plasma brain natriuretic peptide (BNP) level,64,pg/mL
2728,66,PaO2,67,62.5
2729,66,PaO2,68,mmHg
2730,69,PaCO2,70,27.1
2731,69,PaCO2,71,mmHg
2732,72,U1-ribonucleoprotein,73,97.9
2733,72,U1-ribonucleoprotein,74,U/mL
2734,77,X-ray,76,chest
2735,78,enlarged,77,X-ray
2736,78,enlarged,79,pulmonary arteries
2737,80,cardiomegaly,77,X-ray
2738,82,P wave elevation,81,Electrocardiogram
2739,86,mPAP,85,elevated
2740,86,mPAP,87,65
2741,86,mPAP,88,mmHg
2742,90,pulmonary arterial wedge pressure,89,normal
2743,90,pulmonary arterial wedge pressure,91,12
2744,90,pulmonary arterial wedge pressure,92,mmHg
2745,93,cardiac index,94,1.69
2746,93,cardiac index,95,L/min/m2
2747,97,pulmonary thromboembolism,96,ventilation/perfusion scan
2748,98,chronic obstructive pulmonary disease,100,computed tomography
2749,99,interstitial lung diseases,100,computed tomography
2750,101,cardiac function,102,improved
2751,105,EF,106,0.55
2752,109,pimobendan,110,tapered off
2753,17,height,18,161
2754,17,height,19,cm
2755,2,congestive heart failure,1,severe
2756,2,congestive heart failure,4,2008
2757,20,body weight,21,83
2758,20,body weight,22,kg
2759,23,Blood pressure,24,110/60
2760,23,Blood pressure,25,mm Hg
2761,26,fasting blood glucose,27,107
2762,26,fasting blood glucose,28,mg/dl
2763,29,HbA1c,30,6.3
2764,29,HbA1c,31,%
2765,3,ventricular arrhythmias,4,2008
2766,33,x-ray,32,chest
2767,34,cardiomegaly,33,x-ray
2768,35,cardiothoracic ratio,36,0.67
2769,38,hypokinetic,37,ECG
2770,38,hypokinetic,39,left ventricle
2771,40,dilated,41,left ventricle
2772,43,EF,42,reduced
2773,43,EF,44,0.11
2774,45,coronary angiogram,46,normal
2775,5,heart failure,10,lisinopril hydrate
2776,5,heart failure,9,furosemide
2777,50,fibrosis,47,myocardial biopsy
2778,50,fibrosis,49,replaced
2779,52,thickening,53,hands
2780,54,plasma level,56,8.2
2781,54,plasma level,57,ng/ml
2782,55,GH,56,8.2
2783,55,GH,57,ng/ml
2784,58,IGF,60,ng/ml
2785,6,ventricular tachycardia,10,lisinopril hydrate
2786,6,ventricular tachycardia,8,ie
2787,6,ventricular tachycardia,9,furosemide
2788,62,macroadenoma,61,MRI
2789,62,macroadenoma,63,pituitary
2790,65,octreotide,67,for 8 months
2791,66,LAR,67,for 8 months
2792,70,plasma levels,73,decreased
2793,71,GH,73,decreased
2794,72,IGF-1,73,decreased
2795,75,basal plasma levels,77,more than 4
2796,75,basal plasma levels,78,ng/ml
2797,76,GH,77,more than 4
2798,76,GH,78,ng/ml
2799,81,plasma levels,84,decreased
2800,82,GH,84,decreased
2801,83,IGF-1,84,decreased
2802,85,Basal plasma levels,87,less than 0.5
2803,85,Basal plasma levels,88,ng/ml
2804,86,GH,87,less than 0.5
2805,86,GH,88,ng/ml
2806,89,IGF-1 levels,90,within normal ranges
2807,93,cardiac function,94,improved
2808,97,EF,98,0.2
2809,1,stuttering,17,PCI
2810,1,stuttering,18,PCI
2811,10,stenosis,18,PCI
2812,14,T-wave still inversion,18,PCI
2813,17,PCI,12,LAD
2814,18,PCI,12,LAD
2815,18,PCI,2,chest
2816,19,electrocardiogram,12,LAD
2817,20,ventricular tachycardia,12,LAD
2818,20,ventricular tachycardia,19,electrocardiogram
2819,22,hypertension,12,LAD
2820,22,hypertension,17,PCI
2821,22,hypertension,18,PCI
2822,23,blood pressure fluctuation,24,224/76
2823,23,blood pressure fluctuation,25,70/50
2824,23,blood pressure fluctuation,26,mm Hg
2825,28,ventricular tachycardia,12,LAD
2826,28,ventricular tachycardia,17,PCI
2827,28,ventricular tachycardia,18,PCI
2828,3,pain,17,PCI
2829,3,pain,18,PCI
2830,3,pain,2,chest
2831,31,hypertension crisis,12,LAD
2832,31,hypertension crisis,17,PCI
2833,31,hypertension crisis,18,PCI
2834,32,abdominal pain,12,LAD
2835,32,abdominal pain,17,PCI
2836,32,abdominal pain,18,PCI
2837,32,abdominal pain,33,abdominal ultrasound
2838,4,co-morbidities,17,PCI
2839,4,co-morbidities,18,PCI
2840,45,pheochromocytoma,34,adrenal gland
2841,45,pheochromocytoma,44,pathological examination
2842,47,blood pressure,30,fluctuation
2843,49,T-wave inversion,40,aldosterone
2844,6,T-wave inversion,17,PCI
2845,6,T-wave inversion,5,electrocardiogram
2846,8,Coronary angiography,11,mid-left anterior descending coronary artery
2847,12,retinal edema,10,Slit lamp examination
2848,16,hyper-reflective elongated area,17,RPE
2849,16,hyper-reflective elongated area,18,type II
2850,19,CNV,18,type II
2851,7,decreased vision,8,eye
2852,10,clubbing,9,finger
2853,12,oxygen saturation,13,94
2854,12,oxygen saturation,14,%
2855,12,oxygen saturation,15,dropped
2856,12,oxygen saturation,16,92
2857,12,oxygen saturation,17,%
2858,20,disease,18,Spirometry testing
2859,20,disease,19,lung
2860,22,vital capacity,24,2.7
2861,23,FVC,24,2.7
2862,25,FEV1/FVC ratio,26,85
2863,25,FEV1/FVC ratio,27,%
2864,28,haemoglobin,29,168
2865,28,haemoglobin,30,g/L
2866,3,radiograph,1,abnormal
2867,3,radiograph,2,chest
2868,31,serum parathyroid hormone,32,2.9
2869,31,serum parathyroid hormone,33,pmol/L
2870,31,serum parathyroid hormone,34,normal
2871,35,calcium,36,2.34
2872,35,calcium,37,mmol/L
2873,35,calcium,38,normal
2874,39,24-hour urine calcium,40,normal
2875,39,24-hour urine calcium,41,6.9
2876,39,24-hour urine calcium,42,mmol
2877,43,24-hour urine volume,44,2.8
2878,46,radiograph,45,chest
2879,47,micronodular opacities,46,radiograph
2880,47,micronodular opacities,48,lungs
2881,50,opacities,49,cardiac borders
2882,51,computed tomography (HRCT) scan,52,lungs
2883,53,microcalcifications,54,lungs
2884,55,microliths,56,lower lobes
2885,59,Subpleural cystic changes,60,lower lobes
2886,69,biopsy,68,lung
2887,73,pneumothorax,72,moderate
2888,73,pneumothorax,74,postmini-thoracotomy
2889,76,biopsy,75,lung
2890,77,PAM,76,biopsy
2891,78,calcospherites,79,alveolar spaces
2892,8,tachypnoeic,7,examination
2893,82,fibrosis,80,alveolar septae
2894,82,fibrosis,81,mild
2895,15,lesion,12,positron emission tomography
2896,15,lesion,13,computed tomography
2897,15,lesion,14,PET-CT) scan
2898,16,metastases,13,computed tomography
2899,16,metastases,17,adrenal gland
2900,16,metastases,18,femur
2901,26,metastases,24,bone
2902,26,metastases,25,subcutaneous
2903,28,dyspnea,27,severe
2904,28,dyspnea,29,oxygen
2905,31,carboplatin,30,one cycle
2906,32,gemcitabine,30,one cycle
2907,34,pancytopenia,33,severe
2908,37,nivolumab,36,switched
2909,37,nivolumab,38,3
2910,37,nivolumab,39,mg/kg
2911,37,nivolumab,40,q14 days
2912,45,subcutaneous lesion,44,nivolumab
2913,45,subcutaneous lesion,46,back
2914,48,pain,47,severe
2915,53,dyspnea,52,treatment
2916,56,pain,54,reduction
2917,56,pain,55,bone
2918,6,squamous NSCLC,4,Stage IIIB
2919,6,squamous NSCLC,5,T4N2M0
2920,61,lesions,60,bone
2921,104,fluids,103,intravenous
2922,107,hypercalcemia,105,hemodialysis
2923,107,hypercalcemia,106,denosumab
2924,11,masses,10,omental
2925,11,masses,13,pelvic
2926,11,masses,14,paraaortic lymph nodes
2927,11,masses,9,peritoneal
2928,113,carboplatin,112,started
2929,113,carboplatin,115,3 cycles
2930,114,paclitaxel,112,started
2931,114,paclitaxel,115,3 cycles
2932,116,palliative radiation,117,uterus
2933,118,bleeding,116,palliative radiation
2934,119,disease,120,chemotherapy
2935,12,enlarged,10,omental
2936,12,enlarged,13,pelvic
2937,12,enlarged,14,paraaortic lymph nodes
2938,12,enlarged,9,peritoneal
2939,17,hemoglobin,18,9.2
2940,17,hemoglobin,19,g/dL
2941,22,Serum calcium,23,elevated
2942,22,Serum calcium,24,13.1
2943,22,Serum calcium,25,mg/dL
2944,26,BUN,28,within normal limits
2945,27,creatinine,28,within normal limits
2946,29,Hepatic function,30,within normal limits
2947,3,CT,4,abdomen
2948,3,CT,5,pelvis
2949,32,fungating vaginal mass,31,pelvic exam
2950,32,fungating vaginal mass,33,biopsies
2951,33,biopsies,34,endometrium
2952,35,vaginal mass,33,biopsies
2953,37,tumor,33,biopsies
2954,38,Immunohistochemical staining,39,positive
2955,41,CD10,39,positive
2956,42,cyclin D1,39,positive
2957,49,cells,50,positive
2958,51,PR,50,positive
2959,52,immunohistochemical staining,54,negative
2960,53,cytokeratins,54,negative
2961,56,tumor,55,biopsy
2962,57,Ca125,58,elevated
2963,57,Ca125,59,1624
2964,57,Ca125,60,U/mL
2965,6,irregular mass,3,CT
2966,6,irregular mass,7,uterine
2967,6,irregular mass,8,cervical region
2968,61,CT,62,chest
2969,63,pleural effusion,61,CT
2970,64,nodules,61,CT
2971,65,lymphadenopathy,61,CT
2972,66,disease,67,debulking surgery
2973,69,serum calcium,70,increased
2974,69,serum calcium,71,19.2
2975,69,serum calcium,72,mg/dL
2976,74,BUN,75,rising
2977,74,BUN,76,37
2978,74,BUN,77,mg/dL
2979,78,creatinine,79,1.81
2980,78,creatinine,80,mg/dL
2981,82,dry,83,mucous membranes
2982,88,PTHrP,87,elevated
2983,88,PTHrP,89,301
2984,88,PTHrP,90,pg/mL
2985,92,PTH level,91,depressed
2986,92,PTH level,93,3
2987,92,PTH level,94,pg/mL
2988,96,25-OH vitamin D level,95,depressed
2989,96,25-OH vitamin D level,97,16
2990,96,25-OH vitamin D level,98,ng/mL
2991,13,hemoglobin,12,decrease
2992,13,hemoglobin,14,106
2993,13,hemoglobin,15,g/L
2994,17,tumor,18,esophago-gastric junction
2995,23,metastasis,19,Computed tomography (CT) scan
2996,26,black spot,25,Endoscopic examination
2997,26,black spot,27,lower esophagus
2998,30,ulcers,64,excised
2999,33,tumor,64,excised
3000,35,adenocarcinoma,64,excised
3001,37,2002,64,excised
3002,38,2002,64,excised
3003,39,obstructive symptom,64,excised
3004,40,tumor,64,excised
3005,47,tumor,64,excised
3006,49,tumor,64,excised
3007,51,metastasis,64,excised
3008,52,ascites,29,esophago-gastric junction
3009,52,ascites,31,fundus of the stomach
3010,52,ascites,32,Biopsy
3011,52,ascites,41,debulking surgery
3012,52,ascites,42,esophagectomy
3013,52,ascites,43,proximal gastrectomy
3014,52,ascites,44,Esophagogastric anastomosis
3015,52,ascites,45,reconstruction
3016,52,ascites,48,esophago-gastric junction
3017,52,ascites,50,lymph node
3018,52,ascites,62,fundus
3019,52,ascites,63,stomach
3020,53,dissemination,29,esophago-gastric junction
3021,53,dissemination,31,fundus of the stomach
3022,53,dissemination,32,Biopsy
3023,53,dissemination,41,debulking surgery
3024,53,dissemination,42,esophagectomy
3025,53,dissemination,43,proximal gastrectomy
3026,53,dissemination,44,Esophagogastric anastomosis
3027,53,dissemination,45,reconstruction
3028,53,dissemination,48,esophago-gastric junction
3029,53,dissemination,50,lymph node
3030,53,dissemination,62,fundus
3031,53,dissemination,63,stomach
3032,54,tumor,64,excised
3033,56,tumor,64,excised
3034,58,satellite nodules,64,excised
3035,58,satellite nodules,76,mclean-A
3036,58,satellite nodules,91,treatment
3037,59,tumor lesion,64,excised
3038,59,tumor lesion,76,mclean-A
3039,59,tumor lesion,91,treatment
3040,61,ulceration lesions,62,fundus
3041,61,ulceration lesions,63,stomach
3042,61,ulceration lesions,64,excised
3043,61,ulceration lesions,91,treatment
3044,64,excised,29,esophago-gastric junction
3045,64,excised,31,fundus of the stomach
3046,64,excised,48,esophago-gastric junction
3047,64,excised,50,lymph node
3048,64,excised,55,peritoneal cavity
3049,64,excised,62,fundus
3050,64,excised,63,stomach
3051,65,tumor tissue,76,mclean-A
3052,65,tumor tissue,91,treatment
3053,66,pleomorphic cells,76,mclean-A
3054,66,pleomorphic cells,91,treatment
3055,69,IVA,64,excised
3056,69,IVA,76,mclean-A
3057,69,IVA,91,treatment
3058,72,tumor,64,excised
3059,72,tumor,76,mclean-A
3060,8,atrophic gastritis,7,chronic
3061,84,esophago-gastric melanoma,64,excised
3062,84,esophago-gastric melanoma,76,mclean-A
3063,84,esophago-gastric melanoma,91,treatment
3064,85,complications,64,excised
3065,85,complications,91,treatment
3066,88,abdominal recurrence,64,excised
3067,88,abdominal recurrence,86,surgery
3068,89,hepatic metastases,64,excised
3069,89,hepatic metastases,86,surgery
3070,89,hepatic metastases,91,treatment
3071,92,died,76,mclean-A
3072,92,died,91,treatment
3073,93,metastatic disease,76,mclean-A
3074,1,fever,46,albumin
3075,10,blood pressure,11,140/70
3076,10,blood pressure,12,mm Hg
3077,111,cyclophosphamide,113,mg/m2
3078,123,serum VEGF level,126,pg/mL
3079,13,temperature,14,39
3080,138,plasma creatinine,140,μmol/L
3081,17,edema,16,severe
3082,17,edema,18,lower and upper limbs
3083,17,edema,46,albumin
3084,19,ascites,46,albumin
3085,2,diarrhea,46,albumin
3086,20,pleural effusion,46,albumin
3087,23,infracentimetric lymphadenopathies,21,Cervical
3088,23,infracentimetric lymphadenopathies,22,axillar
3089,23,infracentimetric lymphadenopathies,25,computed tomography (CT) scan
3090,23,infracentimetric lymphadenopathies,46,albumin
3091,24,hepatosplenomegaly,25,computed tomography (CT) scan
3092,24,hepatosplenomegaly,46,albumin
3093,26,arthritis,27,ankles
3094,26,arthritis,46,albumin
3095,29,leukocytosis,46,albumin
3096,3,acute renal failure,46,albumin
3097,33,hemolysis,46,albumin
3098,41,proteinuria,46,albumin
3099,42,hematuria,46,albumin
3100,5,fever,46,albumin
3101,50,hemiplegia,46,albumin
3102,53,ischemic lesions,46,albumin
3103,55,stroke,46,albumin
3104,58,endotheliosis,46,albumin
3105,6,fluctuant rash,46,albumin
3106,60,mesangiolysis,46,albumin
3107,61,arteriolar thrombus,46,albumin
3108,65,peritubularcapillaritis,46,albumin
3109,68,abnormal follicles,46,albumin
3110,69,hyalinization,70,germinal center
3111,7,diarrhea,46,albumin
3112,71,onion,101,Plasma exchange
3113,71,onion,40,mild
3114,71,onion,44,rehydration
3115,71,onion,45,saline
3116,71,onion,46,albumin
3117,71,onion,51,brain
3118,71,onion,52,MRI
3119,71,onion,54,Echographic and rythmologic studies
3120,71,onion,56,renal biopsy
3121,71,onion,59,glomeruli
3122,71,onion,64,interstitium
3123,71,onion,72,skin
3124,71,onion,88,renal biopsy
3125,71,onion,91,glomerular
3126,71,onion,92,neurologic
3127,8,pain,46,albumin
3128,8,pain,9,joints
3129,83,Serum vascular endothelium growth factor,85,highly elevated
3130,10,infected diabetic ulcer,11,foot
3131,14,creatinine,15,1.23
3132,14,creatinine,16,mg/dL
3133,17,blood urea nitrogen,19,16
3134,17,blood urea nitrogen,20,mg/dL
3135,18,BUN,19,16
3136,18,BUN,20,mg/dL
3137,21,blood glucose levels,22,poorly controlled
3138,26,blood glucose levels,27,decreased
3139,26,blood glucose levels,28,175 to 378
3140,26,blood glucose levels,29,mg/dL
3141,32,CT scan,31,non-contrast
3142,33,hypoattenuation,32,CT scan
3143,33,hypoattenuation,34,liver
3144,39,hyperintense foci,38,echo images
3145,39,hyperintense foci,40,liver
3146,39,hyperintense foci,41,CT
3147,42,hypointense,43,hepatic parenchyma
3148,46,CT,47,abdomen
3149,46,CT,48,pelvis
3150,51,blood glucose level,50,decreased
3151,51,blood glucose level,52,below 200
3152,51,blood glucose level,53,mg/dL
3153,7,amputation,6,toes
3154,8,complications,7,amputation
3155,10,mass,11,esophagus
3156,10,mass,8,Upper gastrointestinal endoscopy
3157,12,ulcer,13,mucosa
3158,17,esophageal mass,16,polipectomy snare
3159,20,lacunar image,21,esophagus
3160,20,lacunar image,22,esophageal
3161,20,lacunar image,23,inhomogeneous
3162,24,calcifications,21,esophagus
3163,24,calcifications,22,esophageal
3164,25,image,26,pedicle
3165,28,enlarged,27,esophageal lumen
3166,29,diverticula,27,esophageal lumen
3167,29,diverticula,30,wall
3168,3,osteoporosis,4,calcium lactate
3169,31,computer tomography,32,thorax
3170,33,pedunculated tumor,31,computer tomography
3171,33,pedunculated tumor,32,thorax
3172,36,esophageal ulcerated,37,mucosa
3173,38,inflammatory cells,35,biopsies
3174,39,malignancy,35,biopsies
3175,4,calcium lactate,5,tablets
3176,4,calcium lactate,6,daily
3177,4,calcium lactate,7,for 5 years
3178,42,ulcerated,43,mucosa
3179,44,esophageal mass,45,removed
3180,52,mass,53,trichloracetic acid
3181,56,hyaline fibrous tissue,55,Microscopic examination
3182,60,fibroblasts,61,collagen fibers
3183,67,lesion,66,pedicle
3184,69,calcification,68,calcium tablets
3185,69,calcification,70,vascular-connective tissue
3186,73,enlarged,72,endoscopy
3187,73,enlarged,74,esophagus
3188,76,ulcerations,75,esophageal mucosa
3189,78,motility disturbances,79,esophageal manometry
3190,10,liposarcoma,11,myxoid
3191,14,tumor,15,kidney
3192,18,tumor,16,renal vein
3193,18,tumor,17,ureter
3194,22,tumor recurrence,20,Surveillance magnetic resonance imaging
3195,22,tumor recurrence,23,retroperitoneum
3196,25,tumor,26,duodenum
3197,25,tumor,27,head of the pancreas
3198,25,tumor,28,superior mesenteric vein
3199,25,tumor,29,vena cava
3200,25,tumor,30,renal vein
3201,32,adhesive changes,24,exploratory celiotomy
3202,32,adhesive changes,31,severe
3203,35,retroperitoneal tumor,34,stereotactic body radiation
3204,37,complication,34,stereotactic body radiation
3205,39,retroperitoneal mass,38,imaging
3206,4,retroperitoneal sarcoma,1,radical resection
3207,4,retroperitoneal sarcoma,3,Stage III
3208,4,retroperitoneal sarcoma,5,nephrectomy
3209,4,retroperitoneal sarcoma,6,cholecystectomy
3210,46,mass,44,Cross-sectional imaging
3211,46,mass,47,duodenum
3212,57,pedunculated mass,58,duodenal wall
3213,57,pedunculated mass,60,duodenal lumen
3214,63,polypoid mass,61,duodenotomy
3215,63,polypoid mass,62,stalk transection
3216,63,polypoid mass,64,partial duodenal resection
3217,63,polypoid mass,82,resection
3218,70,liposarcoma,66,pathology examination
3219,70,liposarcoma,82,resection
3220,71,polypoid intraluminal growth,66,pathology examination
3221,71,polypoid intraluminal growth,82,resection
3222,72,myxoid,82,resection
3223,73,round cell,82,resection
3224,76,tumor,82,resection
3225,103,pulse steroids,102,High doses
3226,105,immunoglobulins,104,intravenous
3227,105,immunoglobulins,107,added
3228,106,IVIGs,104,intravenous
3229,106,IVIGs,107,added
3230,109,aspirate,108,bone marrow
3231,113,Steroids,114,tapered
3232,24,tachypnea,23,mild
3233,25,respiratory rate,26,22
3234,25,respiratory rate,27,breaths per minute
3235,28,petechial rash,29,lower extremities
3236,32,crackles,31,Chest
3237,34,"abdominal, and neurological examinations",33,Cardiovascular
3238,34,"abdominal, and neurological examinations",35,normal
3239,39,platelets,40,7000
3240,39,platelets,41,/μL
3241,4,rash,7,thighs
3242,43,hemoglobin,44,10.8
3243,43,hemoglobin,45,mg/dL
3244,46,hematocrit,47,34
3245,46,hematocrit,48,%
3246,5,nonpruritic,7,thighs
3247,50,white blood cells,52,"11,600"
3248,50,white blood cells,53,/μL
3249,51,WBCs,52,"11,600"
3250,51,WBCs,53,/μL
3251,54,coagulation profile,55,normal
3252,6,painless,7,thighs
3253,61,carbon dioxide,63,37
3254,64,pH,65,7.45
3255,67,alveolar-arterial gradient,66,increased
3256,67,alveolar-arterial gradient,68,44
3257,69,airspace consolidation,71,roentgenogram
3258,71,roentgenogram,70,chest
3259,72,Computed tomography,74,chest
3260,73,CT,74,chest
3261,75,ground glass alveolar opacities,73,CT
3262,75,ground glass alveolar opacities,74,chest
3263,76,patchy infiltrates,73,CT
3264,78,antibiotics,77,started
3265,8,disseminated,9,body
3266,80,steroids,77,started
3267,80,steroids,79,intravenous
3268,83,platelet clumps,81,Peripheral smear
3269,88,endobronchial lesions,86,FFB
3270,90,hemorrhagic,89,BALF
3271,91,DAH,89,BALF
3272,93,hemosiderin-laden macrophages,92,BALF
3273,94,BALF cultures,96,negative
3274,95,gram stains,96,negative
3275,98,thrombocytopenia,100,steroids
3276,98,thrombocytopenia,97,severe
3277,99,hypoxia,100,steroids
3278,99,hypoxia,101,platelets transfusion
3279,99,hypoxia,97,severe
3280,14,blood pressure,15,150/73
3281,14,blood pressure,16,mm Hg
3282,17,pulse rate,18,70
3283,17,pulse rate,19,bpm
3284,2,exertional dyspnoea,1,worsening
3285,20,respiratory rate,21,24
3286,20,respiratory rate,22,breaths/min
3287,23,temperature,24,36.6
3288,29,saturation,27,97
3289,29,saturation,28,%
3290,30,distended,31,jugular veins
3291,30,distended,33,lung bases
3292,32,inspiratory crackles,33,lung bases
3293,37,left ventricular hypertrophy,36,ECG
3294,38,T-wave inversions,36,ECG
3295,40,radiography,39,Chest
3296,41,cardiomegaly,40,radiography
3297,43,pulmonary oedema,40,radiography
3298,43,pulmonary oedema,42,mild
3299,44,metabolic panel,46,normal
3300,45,troponin levels,46,normal
3301,47,B-type natriuretic peptide,48,increased
3302,47,B-type natriuretic peptide,49,826.5
3303,47,B-type natriuretic peptide,50,pg/mL
3304,5,oedema,4,lower extremity
3305,52,dilated,51,Echocardiography
3306,52,dilated,53,left ventricle
3307,54,ejection fraction,56,30
3308,54,ejection fraction,57,%
3309,55,EF,56,30
3310,55,EF,57,%
3311,59,right ventricular systolic dysfunction,51,Echocardiography
3312,59,right ventricular systolic dysfunction,58,mild
3313,62,coronary circulation,61,normal
3314,63,Ethacrynic acid,64,50
3315,63,Ethacrynic acid,65,mg
3316,63,Ethacrynic acid,66,daily
3317,70,spironolactone,69,added
3318,74,radiography,73,chest
3319,75,pulmonary oedema,74,radiography
3320,79,kidney function,78,worsening
3321,100,AFP,101,increased
3322,100,AFP,102,312.06
3323,100,AFP,103,ng/mL
3324,105,mass,104,laparoscopic splenectomy
3325,105,mass,106,excision
3326,11,respiration rate,12,20
3327,11,respiration rate,13,/min
3328,113,fibrous,114,septa
3329,131,CEA.,130,negativity
3330,133,Metastatic hepatoblastoma,134,histologic examination
3331,14,body temperature,15,37.5
3332,140,mass,139,soft tissue
3333,140,mass,141,splenic bed
3334,144,FDG uptake,142,positron emission tomography
3335,144,FDG uptake,143,PET
3336,144,FDG uptake,146,left upper and lower quadrant
3337,144,FDG uptake,147,abdomen
3338,144,FDG uptake,148,paralumbar area
3339,150,AFP,151,162.69
3340,150,AFP,152,ng/mL
3341,154,cisplatin,155,60
3342,154,cisplatin,156,mg/m2
3343,158,5-FU,159,600
3344,158,5-FU,160,mg/m2
3345,161,vincristine,162,1.5
3346,161,vincristine,163,mg/m2
3347,161,vincristine,164,3 cycles
3348,161,vincristine,166,every 4 week
3349,167,Entecavir,168,0.5
3350,167,Entecavir,169,mg
3351,167,Entecavir,170,started
3352,17,white blood cell,18,"12,000"
3353,17,white blood cell,19,/mm3
3354,172,CHB,171,chemoprophylaxis
3355,178,intraperitoneal metastasis,174,chemotherapy
3356,178,intraperitoneal metastasis,175,abdominal CT
3357,178,intraperitoneal metastasis,176,PET scan
3358,179,intraperitoneal fluid,176,PET scan
3359,180,AFP,181,increased
3360,180,AFP,182,254
3361,180,AFP,183,ng/mL
3362,185,carboplatin,186,350
3363,185,carboplatin,187,mg/m2
3364,188,doxorubicin,189,30
3365,188,doxorubicin,190,mg/m2
3366,188,doxorubicin,191,every 3 weeks
3367,192,neutropenia,193,regimen
3368,199,AFP,200,increased
3369,199,AFP,201,1510.19
3370,199,AFP,202,ng/mL
3371,20,hemoglobin,21,12.8
3372,20,hemoglobin,22,g/dL
3373,204,ascites,203,abdominal CT scan
3374,212,intraperitoneal metastatic masses,210,abdominal CT
3375,216,white blood cell,217,310
3376,216,white blood cell,218,/mm3
3377,222,lymph,223,80
3378,222,lymph,224,%
3379,225,protein,226,3.6
3380,225,protein,227,g/dL
3381,228,albumin,229,2.3
3382,228,albumin,230,g/dL
3383,23,platelet,24,"1,98,000"
3384,23,platelet,25,/mm3
